Entry Time (Kyiv),Exit Time (Kyiv),Symbol,Direction,Units,Entry Price,Exit Price,Stop Loss (SL),Take Profit (TP),Commission,Net PnL,Result
2023-02-06 02:00:00,2023-02-06 07:45:00,GBPUSD,Short,830,1.20389,1.20664,1.20243,1.2065,0.04,-2.32,Loss
2023-03-20 02:00:00,2023-03-20 09:45:00,GBPUSD,Short,820,1.21885,1.22137,1.22043,1.216,0.04,-2.11,Loss
2023-06-19 03:00:00,2023-06-19 04:30:00,GBPUSD,Short,779,1.28309,1.28145,1.28406,1.28144,0.04,1.24,Win
2023-07-17 03:00:00,2023-07-17 04:15:00,GBPUSD,Short,764,1.30858,1.30922,1.30957,1.30691,0.04,-0.53,Loss
2023-11-06 02:00:00,2023-11-06 06:00:00,GBPUSD,Short,808,1.23686,1.23792,1.23781,1.23527,0.04,-0.9,Loss
2023-11-20 02:00:00,2023-11-20 03:00:00,GBPUSD,Short,803,1.24479,1.24588,1.24572,1.24323,0.04,-0.92,Loss
2024-03-11 02:00:00,2024-03-11 03:45:00,GBPUSD,Short,777,1.28587,1.28492,1.28656,1.28479,0.04,0.7,Win
2024-04-15 03:00:00,2024-04-15 04:00:00,GBPUSD,Short,802,1.24596,1.2443,1.24488,1.24781,0.04,1.29,Win
2024-05-20 03:00:00,2024-05-20 03:15:00,GBPUSD,Short,787,1.2697,1.27074,1.27048,1.26843,0.04,-0.86,Loss
2024-07-08 03:00:00,2024-07-08 11:30:00,GBPUSD,Short,780,1.28067,1.28214,1.28199,1.27833,0.04,-1.19,Loss
2024-07-15 03:00:00,2024-07-15 06:30:00,GBPUSD,Short,771,1.29621,1.29746,1.29729,1.29435,0.04,-1.0,Loss
2024-08-19 03:00:00,2024-08-19 06:00:00,GBPUSD,Short,771,1.29481,1.29587,1.29574,1.29326,0.04,-0.86,Loss
2024-08-26 03:00:00,2024-08-26 04:00:00,GBPUSD,Short,756,1.32082,1.32207,1.32196,1.31885,0.04,-0.98,Loss
2024-09-23 03:00:00,2024-09-23 06:15:00,GBPUSD,Short,750,1.33089,1.33203,1.33185,1.32927,0.04,-0.9,Loss
2024-10-07 03:00:00,2024-10-07 08:45:00,GBPUSD,Short,761,1.3123,1.31069,1.31088,1.31484,0.04,1.19,Win
2024-11-18 02:00:00,2024-11-18 03:00:00,GBPUSD,Short,791,1.26211,1.2636,1.26097,1.26408,0.04,-1.22,Loss
2025-01-13 02:00:00,2025-01-13 02:45:00,GBPUSD,Short,818,1.22055,1.22003,1.2196,1.22214,0.04,0.39,Win
2025-01-27 02:00:00,2025-01-27 02:15:00,GBPUSD,Short,802,1.24524,1.24637,1.2463,1.24343,0.04,-0.95,Loss
2025-03-10 02:00:00,2025-03-10 03:45:00,GBPUSD,Short,772,1.29401,1.2913,1.29537,1.29159,0.04,2.05,Win
2025-05-26 03:00:00,2025-05-26 03:30:00,GBPUSD,Short,738,1.35386,1.35511,1.35521,1.35146,0.02,-0.94,Loss
2025-06-30 03:00:00,2025-06-30 08:00:00,GBPUSD,Short,728,1.37192,1.37351,1.37322,1.36962,0.02,-1.18,Loss
2025-11-03 02:00:00,2025-11-03 10:45:00,GBPUSD,Short,760,1.3134,1.31222,1.3122,1.3155,0.04,0.86,Win
2026-01-26 02:00:00,2026-01-26 03:00:00,GBPUSD,Short,731,1.36478,1.36644,1.36687,1.36091,0.02,-1.23,Loss
